gene_name	index
PBXIP1	1234
PYGO2	1235
SHC1	1236
CKS1B	1237
FLAD1	1238
LENEP	1239
ZBTB7B	1240
DCST2	1241
DCST1	1242
ADAM15	1243
EFNA4	1244
EFNA3	1245
EFNA1	1246
SLC50A1	1247
DPM3	1248
KRTCAP2	1249
TRIM46	1250
MUC1	1251
THBS3	1252
MTX1	1253
GBA	1254
FAM189B	1255
SCAMP3	1256
CLK2	1257
HCN3	1258
PKLR	1259
FDPS	1260
RUSC1	1261
ASH1L	1262
MSTO1	1263
YY1AP1	1264
DAP3	1265
GON4L	1266
SYT11	1267
RIT1	1268
KHDC4	1269
RXFP4	1270
ARHGEF2	1271
SSR2	1272
UBQLN4	1273
LAMTOR2	1274
RAB25	1275
MEX3A	1276
LMNA	1277
SEMA4A	1278
SLC25A44	1279
PMF1	1280
BGLAP	1281
PAQR6	1282
SMG5	1283
TMEM79	1284
GLMP	1285
VHLL	1286
CCT3	1287
TSACC	1288
RHBG	1289
MEF2D	1290
IQGAP3	1291
TTC24	1292
NAXE	1293
GPATCH4	1294
HAPLN2	1295
BCAN	1296
NES	1297
CRABP2	1298
ISG20L2	1299
MRPL24	1300
HDGF	1301
PRCC	1302
SH2D2A	1303
NTRK1	1304
INSRR	1305
PEAR1	1306
LRRC71	1307
ARHGEF11	1308
ETV3L	1309
ETV3	1310
FCRL5	1311
FCRL4	1312
FCRL3	1313
FCRL2	1314
FCRL1	1315
CD5L	1316
KIRREL1	1317
CD1D	1318
CD1A	1319
CD1C	1320
CD1B	1321
CD1E	1322
OR10T2	1323
OR10K2	1324
OR10K1	1325
OR10R2	1326
OR6Y1	1327
OR6P1	1328
OR10X1	1329
OR10Z1	1330
SPTA1	1331
OR6K2	1332
OR6K3	1333
OR6N1	1334
OR6K6	1335
OR6N2	1336
MNDA	1337
PYHIN1	1338
IFI16	1339
AIM2	1340
CADM3	1341
ACKR1	1342
FCER1A	1343
OR10J1	1344
OR10J5	1345
APCS	1346
CRP	1347
DUSP23	1348
FCRL6	1349
SLAMF8	1350
VSIG8	1351
CFAP45	1352
TAGLN2	1353
IGSF9	1354
SLAMF9	1355
KCNJ10	1356
PIGM	1357
KCNJ9	1358
IGSF8	1359
ATP1A2	1360
ATP1A4	1361
CASQ1	1362
PEA15	1363
DCAF8	1364
PEX19	1365
COPA	1366
NCSTN	1367
NHLH1	1368
VANGL2	1369
SLAMF6	1370
CD84	1371
SLAMF1	1372
CD48	1373
SLAMF7	1374
LY9	1375
CD244	1376
ITLN1	1377
ITLN2	1378
F11R	1379
TSTD1	1380
USF1	1381
ARHGAP30	1382
NECTIN4	1383
KLHDC9	1384
PFDN2	1385
NIT1	1386
DEDD	1387
UFC1	1388
USP21	1389
PPOX	1390
B4GALT3	1391
ADAMTS4	1392
NDUFS2	1393
FCER1G	1394
APOA2	1395
TOMM40L	1396
NR1I3	1397
PCP4L1	1398
MPZ	1399
SDHC	1400
CFAP126	1401
FCGR2A	1402
HSPA6	1403
FCGR3A	1404
FCGR3B	1405
FCGR2B	1406
FCRLA	1407
FCRLB	1408
DUSP12	1409
ATF6	1410
OLFML2B	1411
NOS1AP	1412
SPATA46	1413
C1orf226	1414
SH2D1B	1415
UHMK1	1416
UAP1	1417
DDR2	1418
HSD17B7	1419
CCDC190	1420
RGS4	1421
RGS5	1422
NUF2	1423
PBX1	1424
LMX1A	1425
RXRG	1426
LRRC52	1427
MGST3	1428
ALDH9A1	1429
TMCO1	1430
UCK2	1431
FAM78B	1432
POGK	1433
TADA1	1434
ILDR2	1435
MAEL	1436
GPA33	1437
POU2F1	1438
CD247	1439
CREG1	1440
RCSD1	1441
MPZL1	1442
ADCY10	1443
MPC2	1444
DCAF6	1445
GPR161	1446
TIPRL	1447
SFT2D2	1448
TBX19	1449
XCL2	1450
XCL1	1451
DPT	1452
ATP1B1	1453
NME7	1454
BLZF1	1455
CCDC181	1456
SLC19A2	1457
F5	1458
SELP	1459
C1orf112	1460
SELL	1461
SELE	1462
METTL18	1463
SCYL3	1464
KIFAP3	1465
GORAB	1466
PRRX1	1467
MROH9	1468
FMO3	1469
FMO2	1470
FMO1	1471
FMO4	1472
PRRC2C	1473
MYOCOS	1474
MYOC	1475
VAMP4	1476
DNM3	1477
PIGC	1478
C1orf105	1479
SUCO	1480
FASLG	1481
TNFSF18	1482
TNFSF4	1483
PRDX6	1484
SLC9C2	1485
ANKRD45	1486
TEX50	1487
KLHL20	1488
CENPL	1489
DARS2	1490
ZBTB37	1491
